ticket_id,created_date,resolved_date,category,sub_category,priority,status,subject,description,resolution,product_service,department,satisfaction_rating,time_to_resolution_hours,text_length
TKT-10117,2024-11-06,2024-11-06 07:06:00,Software,Update,High,Closed,Can't update — error 0x80070057,"good morning, trying to update confluence and getting error 0x80070057 every time. tried updating through the app and by downloading the installer from the vendor site. both fail. this is time-sensitive — please treat as high priority. please advise.",Proxy settings were blocking the update server URL. Added vendor's update domain to the proxy whitelist. Update downloaded and installed successfully.,Confluence,Marketing,4.0,7.1,250
TKT-10013,2024-01-16,2024-01-16 03:30:00,Access/Permissions,New Account,High,Closed,Need contractor account,"hey, we have a contractor starting a 6-month engagement with product. they need limited access — email, cyberark, and the product shared drive only. no vpn needed as they'll be onsite. this is blocking my work completely — i can't proceed without this fixed.","Created contractor account with 6-month expiration. Provisioned email (external-flagged), CyberArk access, and shared drive. Applied contractor security policy (restricted USB, no admin rights). Credentials sent to hiring manager.",CyberArk,Procurement,5.0,3.5,258
TKT-10014,2023-09-26,2023-09-28 01:42:00,Hardware,Laptop,Medium,Closed,Laptop overheating and shutting down,"hi it, my laptop keeps overheating — the fans run at full speed constantly and it shuts down randomly, i assume from heat. lost unsaved work twice this week. i'm on a tight deadline so this is really blocking me. i tried logging out and back in. this is affecting my productivity but not a total blocker. appreciate the help.","Opened laptop and found significant dust buildup blocking air vents and heat sink. Cleaned thoroughly, replaced thermal paste on CPU/GPU. Temperatures dropped from 95°C to 65°C under load. No more unexpected shutdowns.",Lenovo ThinkCentre M90q,Engineering,3.0,49.7,325
TKT-10017,2025-01-26,2025-01-27 19:36:00,Network,Slow Connection,Medium,Closed,Specific application very slow over network,"hello support, juniper srx is painfully slow — takes 30 seconds to load each page. every other application works fine. other users are seeing the same thing. i already tried restarting my computer. not blocking me completely but i'd like this fixed today if possible.",Application server's network interface was negotiating at 100Mbps instead of 1Gbps due to a faulty cable. Replaced the ethernet cable and confirmed 1Gbps link speed. Application performance back to normal.,Juniper SRX,Finance,4.0,43.6,267
TKT-10019,2023-02-18,2023-02-18 05:30:00,Security,Vulnerability,Critical,Closed,SSL certificate expiring soon,"hey, our ssl certificate for the customer portal expires in 5 days. need to renew it before it expires or customers will get security warnings. i'm working remotely today if that matters. i checked and my internet connection seems fine.",Renewed SSL certificate through our certificate provider. Installed new certificate on the web server and load balancer. Verified certificate chain is complete and no mixed content warnings. Set up automated renewal reminders for 30 days before expiration.,Splunk SIEM,Sales,3.0,5.5,236
TKT-10022,2024-10-21,2024-10-22 11:36:00,Hardware,Printer,Medium,Closed,Need to set up scanning to email,i need the copier/scanner in building c to be able to scan documents directly to my email. currently i have to scan to usb which is really inconvenient. this started happening yesterday. i checked and my internet connection seems fine. would appreciate a fix when you get a chance — moderately impactful.,Configured scan-to-email on the MFP with user's email address. Set up SMTP relay through our mail server. Tested scanning — document arrived in user's inbox within 30 seconds.,MacBook Air M2,Marketing,4.0,35.6,304
TKT-10025,2024-07-16,2024-07-17 09:54:00,Email/Communication,Calendar,Medium,Resolved,Calendar invites not being received,people tell me they've sent me meeting invites but they never show up in my calendar or inbox. checked junk folder too — nothing. i've missed 3 meetings this week because of this. this is only happening on my machine. happy to work around this short-term but it needs to be addressed. cheers.,Mail flow rule was incorrectly routing calendar invites (.ics attachments) to quarantine. Adjusted the mail flow rule to exclude calendar invitation content types. Invites now arriving normally.,Proofpoint,Marketing,3.0,33.9,292
TKT-10018,2025-04-24,,Network,DNS,Low,Open,Internal sites not resolving,can't reach any *.internal.company.com addresses. browser shows err_name_not_resolved. external sites like google.com work fine. multiple people on the same floor affected. i first saw this issue this morning. i tried logging out and back in.,,Cisco Meraki,Product,,,242
TKT-10027,2025-06-11,2025-06-12 13:00:00,Cloud/Infrastructure,VM,Medium,Closed,Need to resize VM — running out of resources,our staging vm needs to be upgraded — currently 4 vcpu and 16gb ram but we're constantly hitting resource limits during load testing. not blocking me completely but i'd like this fixed today if possible. cheers.,"Scheduled VM resize during maintenance window. Shut down VM, increased to 8 vCPU and 32GB RAM, and restarted. Load tests now complete without resource exhaustion. Monitored for 24 hours — stable.",AWS EC2,Research,4.0,37.0,211
TKT-10028,2025-02-15,2025-02-15 09:12:00,Email/Communication,Distribution List,High,Closed,Not receiving emails sent to distribution list,"hello, i was added to the operations-all distribution list last week but i'm not receiving any of the group emails. checked spam/junk — nothing there either. i cleared my browser cache but it didn't help. thanks in advance.",User was added to the group but their mailbox had a full inbox rule that was routing group emails to a folder they weren't checking. Also confirmed DL membership was active. Adjusted rule and confirmed delivery.,Slack,Engineering,4.0,9.2,223
TKT-10030,2023-02-22,2023-02-24 19:12:00,Access/Permissions,Password Reset,Medium,Closed,Password expired while on vacation,was on vacation for 2 weeks and my password expired while i was away. can't log in to reset it because the old password doesn't work and the new one hasn't been set. this has been going on for about a week now. please advise.,Reset password via admin console. Extended password expiration policy for users on extended leave to prevent this issue. User logged in and set new permanent password.,Okta,Operations,2.0,67.2,225
TKT-10031,2025-12-27,2025-12-28 09:06:00,Software,Crash,Medium,Closed,Zoom crashes on startup,zoom crashes immediately when i try to open it. get a brief flash of the splash screen then it closes. no error message. was working fine until this morning. this has been going on for about a week now.,Corrupted user profile config file was causing crash on load. Renamed the config directory to force regeneration of defaults. Application now starts normally. User re-applied their preferences.,Zoom,Customer Support,4.0,33.1,202
TKT-10033,2024-07-26,2024-07-28 15:54:00,Access/Permissions,Permission Request,Medium,Closed,Need admin access to Ping Identity,"hey, i need administrator access to ping identity for my new role as team lead. i need to be able to manage user accounts and configure project settings. manager approved. i'm in annex if someone needs to come look at it. i cleared my browser cache but it didn't help. this is affecting my productivity but not a total blocker.",Added user to Ping Identity admin role after verifying approval chain. User now has administrative access. Provided brief walkthrough of admin panel capabilities.,Ping Identity,Sales,2.0,63.9,327
TKT-10034,2025-01-25,2025-01-26 12:12:00,Access/Permissions,MFA,Medium,Resolved,Lost phone — can't do MFA,"hi, i lost my phone and can't do mfa to log in. i'm completely locked out of everything — email, vpn, all our apps. need temporary access urgently. i noticed this after the last update. i checked and my internet connection seems fine. not blocking me completely but i'd like this fixed today if possible. please advise.",Verified identity through in-person ID check and manager confirmation. Issued temporary bypass code valid for 24 hours. User will re-enroll MFA when new phone is set up.,Microsoft Entra ID,Operations,4.0,36.2,319
TKT-10035,2025-09-18,2025-09-20 04:12:00,Cloud/Infrastructure,Scaling,Low,Closed,Cost optimization — over-provisioned resources,"hi it, our cloud bill jumped 40% last month. i suspect we have over-provisioned resources that we're paying for but not using. this has been going on for about a week now. low priority — happy to wait until your schedule allows. thanks in advance.","Audit found: 5 idle VMs (shut down, saving $1,200/mo), 3 oversized instances (rightsized, saving $800/mo), 2TB of unused EBS volumes (deleted, saving $200/mo). Total monthly savings: $2,200. Set up cost monitoring alerts.",GitHub Actions,Logistics,4.0,52.2,247
TKT-10037,2024-09-14,2024-09-14 21:36:00,Access/Permissions,New Account,Low,Closed,Account creation for new service,"hello support, we're deploying a new internal service that needs a service account to run automated tasks. it needs access to the reporting database and the file share. i've rebooted twice, no change. low priority — happy to wait until your schedule allows. thanks.",Created managed service account (gMSA) with principle of least privilege. Granted read-only access to reporting database and read/write to the designated file share path only. Documented service account in CMDB.,Azure AD,Customer Support,5.0,21.6,265
TKT-10038,2023-11-18,2023-11-19 22:24:00,Email/Communication,Teams,Low,Resolved,Need to create a new Teams channel for project,"need a private teams channel created for project phoenix. should include about 20 members from sales and engineering. need file sharing and a wiki tab. this has been going on for about a week now. this is a minor inconvenience, not urgent at all. please advise.","Created private channel 'Project Phoenix' in the department Team. Added all 20 members, set up file sharing with proper folder structure, added wiki tab with project template. Channel owners set as project leads.",Mimecast,Finance,4.0,46.4,261
TKT-10041,2025-06-24,2025-06-26 18:18:00,Network,VPN,Medium,Closed,VPN shows connected but can't reach internal sites,"hi, vpn says connected and i can see the green icon, but i can't reach any internal sites — sharepoint, jira, internal wikis all timeout. external sites work fine. i'm on a tight deadline so this is really blocking me. not blocking me completely but i'd like this fixed today if possible. cheers.",DNS resolution was failing for internal domains. Flushed DNS cache and reconfigured DNS to use internal DNS servers when VPN is active. All internal sites now accessible.,Aruba ClearPass,Executive,3.0,66.3,296
TKT-10043,2023-09-26,2023-09-28 19:06:00,Hardware,Laptop,Medium,Closed,Laptop battery draining very fast,"my surface pro 9 battery used to last 6-7 hours, now it barely makes it to 2 hours. battery health in settings shows 68%. i've had this laptop for about 2 years. this is slowing me down but i can work around it for now. appreciate the help.","Battery wear level at 32% confirmed degradation. Replaced battery under warranty. New battery showing 100% health, estimated runtime 7-8 hours. Also optimized power settings.",Surface Pro 9,Product,3.0,67.1,240
TKT-10046,2024-05-04,2024-05-05 18:54:00,Hardware,Printer,Medium,Closed,Need to set up scanning to email,i need the copier/scanner in annex to be able to scan documents directly to my email. currently i have to scan to usb which is really inconvenient. i tried the usual troubleshooting steps. this is affecting my productivity but not a total blocker.,Configured scan-to-email on the MFP with user's email address. Set up SMTP relay through our mail server. Tested scanning — document arrived in user's inbox within 30 seconds.,Dell Precision 5570,Logistics,3.0,42.9,247
TKT-10047,2025-07-24,2025-07-24 10:30:00,Software,License,Low,Closed,License key not accepted,"hi it, i'm entering the license key for autocad exactly as provided but it keeps saying 'invalid license key.' triple-checked the key for typos. copied and pasted it directly. this has been going on for about a week now. thank you.",License key was for a different product edition than what was installed. Provided correct key matching the installed edition. Activation successful.,AutoCAD,Procurement,5.0,10.5,231
TKT-10048,2025-09-26,2025-10-02 03:36:00,Access/Permissions,Password Reset,Low,Resolved,Forgot my password,i forgot my password over the long weekend and now i can't log in. already tried the self-service reset but it says my security questions don't match. can someone reset it for me? i tried the usual troubleshooting steps.,Verified user identity through manager confirmation and employee ID. Reset password and set it to force change on next login. Also updated security questions for future self-service resets.,SailPoint,Human Resources,4.0,147.6,220
TKT-10049,2024-05-15,2024-05-15 04:30:00,Hardware,Printer,Critical,Closed,Printer printing blank pages,"hi, the hp printer near my desk is feeding paper through but every page comes out completely blank. the toner was just replaced last week. i'm in annex if someone needs to come look at it. production is down. all users affected. needs immediate escalation. let me know if you need more info.","New toner cartridge had shipping seal still attached. Removed the protective seal strip, ran cleaning cycle, and printed test page successfully. User confirmed normal printing resumed.",MacBook Pro M3,Logistics,2.0,4.5,291
TKT-10050,2023-11-20,2023-11-20 09:00:00,Hardware,Monitor,Medium,Closed,External monitor not detected,"good morning, plugged my external monitor into my macbook air m2 and it's not being detected at all. tried both hdmi and usb-c ports. the monitor works fine with my personal laptop. i checked and my internet connection seems fine. would appreciate a fix when you get a chance — moderately impactful.",Updated display drivers and installed missing USB-C DisplayPort Alt Mode driver. Monitor immediately detected after driver update. Configured as extended display per user preference.,MacBook Air M2,Executive,3.0,9.0,299
TKT-10051,2025-03-21,2025-03-23 03:54:00,Hardware,Peripheral,Low,Closed,USB ports not working on desktop,none of the front usb ports on my desktop are working. can't plug in my usb drive or charge my phone. the back ports still work though. i'm working remotely today if that matters. low priority — happy to wait until your schedule allows. please advise.,Front panel USB header cable had come loose from the motherboard. Reseated the internal cable connection. All front USB ports now functional.,Dell OptiPlex 7010,Research,4.0,51.9,251
TKT-10053,2023-06-04,2023-06-05 06:30:00,Network,DNS,Low,Closed,New subdomain not resolving,"good morning, we set up a new internal service at reporting.internal.company.com but nobody can reach it. dns doesn't seem to know about it. the server is running and reachable by ip. whenever you get a chance — low priority for me.","DNS A record had not been added for the new subdomain. Created the record pointing to the correct IP, waited for propagation, and confirmed resolution from multiple clients.",Cisco Meraki,Procurement,3.0,30.5,232
TKT-10054,2025-08-23,2025-08-23 05:42:00,Email/Communication,Distribution List,Medium,Resolved,Remove ex-employee from distribution lists,linda santos left the company 2 weeks ago but they're still on several distribution lists. getting bounce-back errors every time we email the team list. i'm on a tight deadline so this is really blocking me. this is affecting my productivity but not a total blocker. thank you.,Removed the former employee from all distribution lists (found membership in 7 lists). Cleaned up bounce-back queue. No more NDR errors on group emails.,Webex,Customer Support,3.0,5.7,277
TKT-10055,2025-01-29,2025-01-29 05:30:00,Hardware,Desktop,Critical,Closed,Desktop randomly restarting,"good morning, my desktop keeps restarting without warning — no blue screen, just suddenly shuts off and comes back on. happened 4 times today already. losing work each time. i've rebooted twice, no change. all work has stopped. this needs to be fixed in the next hour. thanks in advance.",Event logs showed kernel-power errors indicating unexpected shutdown. Ran PSU diagnostics — power supply was failing under load. Replaced PSU with matching wattage unit. No more unexpected restarts.,Dell Precision 5570,Customer Support,2.0,5.5,287
TKT-10056,2025-01-04,2025-01-04 03:18:00,Software,Crash,High,Closed,Excel crashing when running macros,"hey, excel crashes every time i run our department's reporting macro. just started today — macro has been working for months without issues. getting an error about memory. this is only happening on my machine. this is causing significant disruption to my team's work today. let me know if you need more info.",Recent Windows update changed macro security settings and memory allocation. Reset Excel's macro security to previous level and repaired Office installation. Macros now executing properly.,Tableau,Human Resources,5.0,3.3,308
TKT-10057,2024-03-18,2024-03-23 18:06:00,Cloud/Infrastructure,Service Outage,Low,Closed,Production service completely down,"our customer-facing amazon s3 application is completely down. users getting 503 errors. multiple teams reporting issues. started about 15 minutes ago. other people on my team are seeing the same thing. i've rebooted twice, no change.",Root cause: expired TLS certificate on the load balancer. Renewed certificate and installed on all load balancer nodes. Service restored within 20 minutes of escalation. Implemented certificate expiry monitoring to alert 30 days before expiration.,Amazon S3,Logistics,3.0,138.1,233
TKT-10058,2023-12-23,2023-12-23 22:00:00,Network,Firewall,Medium,Closed,Application blocked by firewall,"hi, i need to access forticlient but i'm getting a connection refused error. i think the firewall might be blocking it. the vendor says we need to allow outbound traffic on port 8443. i first saw this issue this morning. i already tried restarting my computer. not blocking me completely but i'd like this fixed today if possible.",Added firewall rule to allow outbound TCP/8443 to the vendor's IP range. Verified connectivity from user's workstation. Application now connects successfully.,FortiClient,Operations,5.0,22.0,330
TKT-10060,2025-11-01,2025-11-05 08:54:00,Software,Update,Low,Closed,Windows update stuck for hours,windows update has been showing 'installing updates... 47%' for over 3 hours. afraid to restart in case it breaks something. is this normal? i'm in building b if someone needs to come look at it. i tried the usual troubleshooting steps.,"Update was stuck due to a corrupted Windows Update component. Ran Windows Update troubleshooter, cleared the SoftwareDistribution folder, and restarted the update service. Updates completed successfully in 20 minutes.",Workday,Product,4.0,104.9,236
TKT-10062,2023-04-16,2023-04-18 21:54:00,Network,Slow Connection,Medium,Closed,Internet extremely slow for entire floor,"hello, the whole 3rd floor is experiencing very slow internet. downloads are crawling, video calls keep freezing. started around 10am today. we've got about 40 people affected. restarting the application didn't fix it.",Identified a failing switch on the 3rd floor causing packet loss and retransmissions. Replaced the switch and verified throughput returned to normal across all ports.,FortiClient,Engineering,2.0,69.9,218
TKT-10064,2024-03-16,2024-03-17 05:36:00,Database,Access,Medium,Resolved,Need read access to production database,"hello support, i need read-only access to the production mongodb database for analytics work. my manager fatima jones has approved. i only need select permissions on the reporting schema. i noticed this after the last update. i cleared my browser cache but it didn't help. this is slowing me down but i can work around it for now. thank you.",Created database login with read-only role on reporting schema only. No access to PII tables per data classification policy. Tested access — user can run queries against approved tables.,MongoDB,Finance,4.0,29.6,341
TKT-10065,2024-03-17,2024-03-19 07:18:00,Software,License,Medium,Closed,Software reverted to trial mode,"good morning, my power bi suddenly reverted to trial mode and says i have 14 days left. i've been using the full version for over a year. all my premium features are locked. happy to work around this short-term but it needs to be addressed. cheers.",License file was corrupted during a disk error. Restored license file from backup and re-validated with the license server. Full features restored.,Power BI,Operations,4.0,55.3,248
TKT-10066,2023-01-16,2023-01-16 04:12:00,Network,Firewall,Critical,Closed,Suspicious outbound connections detected,"good morning, our monitoring is showing unusual outbound connections from workstation elena johansson-pc to external ips on port 6667. flagging for review — could be malware or unauthorized software. other people on my team are seeing the same thing. production is down. all users affected. needs immediate escalation. please advise.","Investigated the workstation and found an unauthorized IRC client installed by the user. Removed the software, blocked port 6667 at the firewall, and reported to security team for policy follow-up.",Aruba ClearPass,Finance,4.0,4.2,333
TKT-10067,2025-05-05,2025-05-05 08:24:00,Software,Crash,High,Closed,Browser crashing repeatedly,"hey, chrome keeps crashing multiple times a day. sometimes individual tabs crash, sometimes the whole browser goes down. losing work in web apps when it happens. i noticed this after the last update. this is time-sensitive — please treat as high priority.","Found 3 conflicting browser extensions causing memory leaks. Disabled problematic extensions, cleared browser cache (was 4.2GB), and updated Chrome to latest version. Stable since fix.",AutoCAD,Engineering,4.0,8.4,255
TKT-10068,2025-11-11,2025-11-12 23:06:00,Hardware,Desktop,Medium,Closed,Desktop not connecting to network after move,"hello support, moved my desktop to a new desk and now it can't connect to the network. ethernet cable is plugged in but the network icon shows disconnected. cable works fine with my laptop. not super urgent but it's getting annoying. this is affecting my productivity but not a total blocker.","Network port at new desk was not activated in the switch configuration. Enabled the port, assigned correct VLAN, and registered device MAC address. Desktop now on the network with full connectivity.",MacBook Air M2,Marketing,2.0,47.1,292
TKT-10069,2025-07-08,2025-07-08 05:36:00,Security,Suspicious Activity,Critical,Closed,Unauthorized access attempts in logs,we're seeing hundreds of failed login attempts against our splunk siem admin portal. all from different ip addresses. started about 2 hours ago. i noticed this after the last update. i cleared my browser cache but it didn't help.,Credential stuffing attack in progress. Enabled rate limiting and CAPTCHA on the admin portal. Blocked the attacking IP ranges at the WAF. Confirmed no successful logins from the attack IPs. Rotated admin passwords as precaution.,Splunk SIEM,Research,1.0,5.6,229
TKT-10070,2023-04-27,2023-04-27 10:06:00,Access/Permissions,MFA,High,Closed,New phone — need to transfer MFA,got a new phone and need to transfer my mfa authenticator to it. old phone has been wiped already so i can't scan the qr code from the old app. it's been like this since monday. restarting the application didn't fix it. multiple people on my team are affected and we're all blocked. cheers.,Reset MFA enrollment for user's account. Generated new QR code and helped user set up authenticator on new phone. Verified 3 consecutive codes worked correctly.,Ping Identity,Research,4.0,10.1,290
TKT-10071,2024-12-04,2024-12-04 23:36:00,Security,Phishing,High,Closed,Suspicious attachment in email,"hey, received an email with a .zip attachment from an unknown sender claiming to be an invoice. the email has our company logo but something feels off. haven't opened the attachment. i cleared my browser cache but it didn't help. cheers.",Submitted attachment to sandbox for analysis — contained a macro-enabled document with credential-stealing malware. Blocked sender and attachment hash across email gateway. Scanned for any users who may have opened it — none found.,SentinelOne,Research,4.0,23.6,237
TKT-10072,2025-03-02,2025-03-02 23:18:00,Hardware,Monitor,Medium,Closed,Need additional monitor for dual setup,"hi it, i'd like to request a second monitor for my workstation. i work with spreadsheets and our surface pro 9 dashboard simultaneously and constantly switching between them is killing my productivity. manager ok'd it. it's been like this since monday. this is affecting my productivity but not a total blocker. thank you.","Approved and deployed 27-inch monitor to user's workstation. Installed monitor arm, connected via DisplayPort, and configured dual display layout. User confirmed setup works for their workflow.",Surface Pro 9,Research,3.0,23.3,322
TKT-10073,2023-09-19,2023-09-23 19:12:00,Cloud/Infrastructure,Scaling,Low,Closed,Need auto-scaling configured for new service,"hey team, our new vmware vsphere service needs auto-scaling configured. we expect variable traffic — low overnight but peaks during business hours. currently running fixed at 2 instances. i noticed this after the last update. i checked and my internet connection seems fine. low priority — happy to wait until your schedule allows.","Configured horizontal pod autoscaler with CPU threshold at 70% and memory at 80%. Min replicas: 2, max: 8. Added custom metrics based on request queue length. Tested with load simulator — scaling responds within 60 seconds of threshold breach.",VMware vSphere,Product,2.0,115.2,331
TKT-10074,2023-07-27,2023-07-28 14:30:00,Cloud/Infrastructure,Scaling,Medium,Closed,Application can't handle traffic spike,we're running a promotion and traffic is 5x normal levels. the application is buckling — slow response times and intermittent errors. need more capacity now. i tried logging out and back in. not blocking me completely but i'd like this fixed today if possible. thanks in advance.,Immediately scaled application horizontally from 3 to 10 pods. Increased database connection pool. Enabled CDN caching for static assets. Response times normalized within 10 minutes. Set up auto-scaling rules to handle future traffic spikes automatically.,Terraform,Product,2.0,38.5,279
TKT-10075,2025-07-08,2025-07-08 19:54:00,Security,Phishing,Medium,Resolved,Phishing email impersonating CEO,"hey team, got an email that looks like it's from our ceo asking me to urgently purchase gift cards and send the codes. the email address is slightly different from the real one. pretty convincing otherwise. i already tried restarting my computer. not blocking me completely but i'd like this fixed today if possible. cheers.","Classic CEO impersonation/BEC attack. Blocked sender, added warning banner for external emails impersonating executive names. Reported to anti-fraud team. Sent company-wide alert about this specific attack pattern.",Rapid7,Logistics,5.0,19.9,324
TKT-10076,2025-01-30,2025-02-03 00:42:00,Database,Backup,Low,Resolved,Backup taking too long — overlaps with business hours,the full database backup now takes 6 hours and is still running when people start work at 8am. it slows everything down. used to finish by 5am. other people on my team are seeing the same thing. whenever you get a chance — low priority for me. thanks.,Database growth had outpaced backup configuration. Switched from full nightly backup to full weekly + differential nightly. Nightly backup now completes in 45 minutes. Weekly full runs Saturday night.,Azure SQL,Procurement,4.0,96.7,251
TKT-10077,2025-10-25,2025-10-25 03:18:00,Access/Permissions,Account Lockout,Critical,Closed,Account locked after password change,"hi there, changed my password yesterday and now i'm locked out this morning. i'm sure i'm using the new password. my phone and tablet might still have the old password saved. restarting the application didn't fix it. regards.","Account lockout was caused by mobile devices trying to sync email with old password. Unlocked account, helped user update password on all devices (phone, tablet, home PC). No further lockouts.",Azure AD,Human Resources,4.0,3.3,225
TKT-10078,2023-06-12,2023-06-12 00:36:00,Software,Installation,Critical,Closed,Need Visual Studio Code installed on new machine,"hey, just got my new laptop and i need visual studio code installed for my role. i had it on my old machine. license key should still be valid — it's a per-user license. i first saw this issue this morning. this is critical — customer-facing services are unavailable right now.","Deactivated license on old machine, installed Visual Studio Code on new laptop, and activated with existing license key. Verified application launches and user's settings were migrated.",Visual Studio Code,Finance,5.0,0.6,277
TKT-10079,2025-11-21,2025-11-22 19:06:00,Access/Permissions,MFA,Medium,Closed,Need to enable MFA for entire department,"per the new security policy, all of human resources needs to have mfa enabled by end of this week. about 35 users total. can you do a bulk enrollment? i've rebooted twice, no change. would appreciate a fix when you get a chance — moderately impactful.","Enabled MFA requirement for Human Resources security group (35 users). Sent enrollment instructions via email to all affected users with a 72-hour grace period. Set up drop-in support hours for users needing help. 33 of 35 enrolled within 48 hours, remaining 2 assisted individually.",SailPoint,Sales,2.0,43.1,251
TKT-10080,2025-08-20,2025-08-20 00:48:00,Software,Compatibility,Critical,Closed,New software conflicts with existing tool,"after installing adobe creative cloud, our existing crm tool started crashing. they seem to conflict somehow. i need both applications for my work.",Both applications were competing for the same local port (8080). Reconfigured Adobe Creative Cloud to use port 8180 instead. Both applications now run simultaneously without conflicts.,Adobe Creative Cloud,Engineering,5.0,0.8,147
TKT-10081,2024-01-09,2024-01-11 11:12:00,Hardware,Laptop,Medium,Closed,Laptop screen flickering,the screen on my lenovo thinkpad x1 has been flickering on and off. sometimes it goes completely black for a second then comes back. getting worse — now happens every few minutes. it was working fine until last friday. would appreciate a fix when you get a chance — moderately impactful.,"Identified faulty display cable connection. Opened laptop, reseated the display ribbon cable, and applied strain relief. Flickering resolved. Monitored for 24 hours with no recurrence.",Lenovo ThinkPad X1,Logistics,4.0,59.2,287
